Marathon Joensuu 2018
62.641875999999996 29.810195 1540965858856.0825
62.643459 29.811279 1540965876512.5566
62.644918 29.812341 1540965894169.031
62.646037 29.812963999999997 1540965911825.5051
62.647689 29.814061 1540965929481.9795
62.656287 29.818286999999998 1540965947138.4536
62.657429 29.818628999999998 1540965964794.9277
62.659409999999994 29.818811 1540965982451.402
62.660278999999996 29.819273 1540966000107.8762
62.660661999999995 29.819477 1540966017764.3506
62.664604999999995 29.820776 1540966035420.8247
62.671816 29.81966 1540966053077.299
62.673437 29.819681 1540966070733.7732
62.675377 29.819917 1540966088390.2473
62.678638 29.820594 1540966106046.7217
62.681838 29.821797 1540966123703.1958
62.682631 29.822447999999998 1540966141359.6702
62.68275 29.822599999999998 1540966159016.1443
62.685914999999994 29.826836 1540966176672.6187
62.688012 29.829356999999998 1540966194329.0928
62.692530999999995 29.833216 1540966211985.567
62.695809 29.834584999999997 1540966229642.0413
62.698668 29.835058 1540966247298.5154
62.70422 29.835977999999997 1540966264954.9897
62.704758999999996 29.836111 1540966282611.4639
62.706688 29.838434 1540966300267.9382
62.707010999999994 29.839026999999998 1540966317924.4124
62.708808 29.842907999999998 1540966335580.8867
62.710608 29.847156 1540966353237.3608
62.711209 29.848893999999998 1540966370893.835
62.712382 29.853680999999998 1540966388550.3093
62.712979 29.856115 1540966406206.7834
62.713873 29.859182999999998 1540966423863.2578
62.714104999999996 29.859803999999997 1540966441519.732
62.715109 29.862477 1540966459176.2063
62.715053999999995 29.863749 1540966476832.6804
62.715101 29.865018 1540966494489.1545
62.715092999999996 29.865855999999997 1540966512145.629
62.715174999999995 29.867860999999998 1540966529802.103
62.715246 29.869 1540966547458.5774
62.715621 29.875118999999998 1540966565115.0515
62.716210999999994 29.884217 1540966582771.526
62.717164 29.899701999999998 1540966600428
62.717234 29.900589 1540966605500.2856
62.715809 29.901532 1540966610572.5715
62.714175999999995 29.902261 1540966615644.8572
62.712562999999996 29.904922 1540966620717.1428
62.709551999999995 29.899772 1540966625789.4285
62.706975 29.895823999999998 1540966630861.7144
62.705248 29.891855999999997 1540966635934
62.705017999999995 29.891187 1540966641006.2856
62.704279 29.888657 1540966646078.5715
62.704172 29.885989 1540966651150.8572
62.705183999999996 29.878743999999998 1540966656223.1428
62.705602999999996 29.875833 1540966661295.4285
62.704414 29.87353 1540966666367.7144
62.702985 29.873495 1540966671440
62.702368 29.873559 1540966676512.2856
62.701522999999995 29.873883 1540966681584.5715
62.700742 29.874443999999997 1540966686656.8572
62.699298999999996 29.875825 1540966691729.1428
62.698038999999994 29.877927999999997 1540966696801.4285
62.697331 29.879559 1540966701873.7144
62.696591999999995 29.880827999999998 1540966706946
62.696307 29.881318999999998 1540966712018.2856
62.695324 29.88242 1540966717090.5715
62.695024 29.882755999999997 1540966722162.8572
62.692921 29.884838 1540966727235.1428
62.690833999999995 29.888271 1540966732307.4285
